"","Estimate","Std. Error"
"log_qT",-3.62054262673608,0.95016116022537
"log_qT",-3.73450956943796,0.898760978338269
"log_qT",-3.83397433464157,0.852755118324425
"log_qT",-3.68987182366716,0.811093890750246
"log_qT",-3.66374872046266,0.775869079116972
"log_qT",-3.62568964283825,0.750265433918685
"log_qT",-3.54081513712377,0.72713557249792
"log_qT",-3.5637905985395,0.701165560317587
"log_qT",-3.65711348133029,0.669984326892803
"log_qT",-3.80066301522172,0.637597929585745
"log_qT",-3.86090263190581,0.611642261764179
"log_qT",-3.83770883932726,0.592621229258109
"log_qT",-3.915468035242,0.568067889292231
"log_qT",-4.09312252986898,0.557591913477904
"log_qT",-4.17280055570098,0.552949202381242
"log_qT",-4.07921616122395,0.545585148328731
"log_qT",-3.72813399225402,0.519634983089714
"log_qT",-3.64763262076134,0.515855550910224
"log_qT",-3.70127257399374,0.509874279443266
"log_qT",-3.85292599385879,0.491823589365241
"log_qT",-4.14119456365005,0.450916019152011
"log_qT",-4.36518234813579,0.404930991576704
"log_qT",-4.5012317046046,0.390557611083364
"log_qT",-4.4421670125177,0.38842011620966
"log_qT",-4.4131815252104,0.425877638389433
"log_qT",-4.66040316718774,0.490324193276898
"log_qT",-5.03542284534858,0.561848990037292
"log_qT",-5.16133620292132,0.613095393528766
"log_qT",-5.36124739363868,0.665404621008458
"log_qT",-5.38113249268682,0.707931926168048
"log_qT",-3.97714965401926,1.26720618256377
"log_qT",-3.82525397537709,1.21483749644249
"log_qT",-3.80677759225982,1.16728847022651
"log_qT",-3.90652470449952,1.11679863221524
"log_qT",-3.99344428099636,1.06992850658877
"log_qT",-3.87027573404452,1.02734009610337
"log_qT",-3.85128595406806,0.991029842966739
"log_qT",-3.82584137288388,0.962210359835885
"log_qT",-3.76403319051788,0.937233019822988
"log_qT",-3.79487769468968,0.910901022795624
"log_qT",-3.88560143593348,0.881695432025654
"log_qT",-4.02028918433649,0.851823017564766
"log_qT",-4.08304461547205,0.82685145456319
"log_qT",-4.07370103469264,0.803239607558435
"log_qT",-4.14896113214022,0.775498711181586
"log_qT",-4.31070584771254,0.756999177099231
"log_qT",-4.39473287995606,0.744404460783329
"log_qT",-4.31733957064346,0.723015258848609
"log_qT",-3.9826977235376,0.690340336429583
"log_qT",-3.89160667571742,0.675310394739088
"log_qT",-3.92264505302916,0.663185877914536
"log_qT",-4.05409780863493,0.648405455802938
"log_qT",-4.32461342047888,0.607072002540202
"log_qT",-4.50602526761976,0.556254487840563
"log_qT",-4.60483093253762,0.526881571278513
"log_qT",-4.49598796147367,0.515147713382964
"log_qT",-4.47120828255583,0.53894852379436
"log_qT",-4.65883515417943,0.588451241239453
"log_qT",-5.01853989595663,0.64617592078227
"log_qT",-5.0793056655977,0.686836579430796
"log_qT",-5.23012974239693,0.733188398302356
"log_qT",-5.28234810643662,0.775380105085219
"log_qT",-4.27284216095555,1.48130358396486
"log_qT",-4.143173061545,1.43518922311329
"log_qT",-4.12740028920153,1.39198820612587
"log_qT",-4.21255161364042,1.34638235850831
"log_qT",-4.28564112188761,1.30381025523272
"log_qT",-4.17889300426521,1.26425111194272
"log_qT",-4.16319444164593,1.22893217608915
"log_qT",-4.1437816895743,1.19867303174208
"log_qT",-4.09311882632161,1.17141230997817
"log_qT",-4.12265399557318,1.14314187174431
"log_qT",-4.20325651364166,1.11340362404298
"log_qT",-4.32123113931775,1.08388625901744
"log_qT",-4.377744037106,1.05805879635689
"log_qT",-4.37243417380067,1.03219803318391
"log_qT",-4.43915432168495,1.00380165410195
"log_qT",-4.57909398386842,0.980823575833449
"log_qT",-4.64827227288875,0.961585787898361
"log_qT",-4.58739942851818,0.929181238407939
"log_qT",-4.29564484547075,0.886367922800738
"log_qT",-4.21783036138085,0.864035505872321
"log_qT",-4.22180548672812,0.84480372034887
"log_qT",-4.35257010103571,0.830386357087059
"log_qT",-4.613290360479,0.79470545256643
"log_qT",-4.7725706549747,0.746688091675899
"log_qT",-4.84595625353821,0.715000866830309
"log_qT",-4.72363618371514,0.694065373224056
"log_qT",-4.69242810208638,0.709413614979317
"log_qT",-4.81949952471536,0.74026477635016
